commit,number_patches,patch_size_byte,patch_time_ms
8263146227aa922db71434d6877db3333a710f74,1,81280,0.316
83390f55e5b78a1618a81528993bdb7a0c259980,1,167800,0.1869
837c063baf103c4389d8109ff0ef7fa8576a90d5,1,372864,8.4905
8651e5d50d477faa47cc2d7ca02d4cbdcba1e135,1,300816,2.7072
86f27be3dc49a012807ccf94fabfdfcef41dbb0f,1,30984,0.5204
87131a5fa612c0d2b688fc65c722ebc95ae8f42a,1,178872,1.4178
88682ca305e7a69c2cf174c439c76a9a4066413e,1,509048,1.4885
8869589430554bd9e9a4aabb8ed1198d838b4c58,1,407816,9.067
88d58661dbf674b722fc007a8a617e0f95a6be9e,1,297920,1.6216
89682d96ea220e3a7901f57ce9b5a6df756af577,2,485424,6.5813
896cf1a9d98a4d603c5d056ea421d1d6fb3c728e,1,335336,4.5845
897d857115298eb9632ac2cdc8cfea3e1ae3c1e7,1,127088,0.3781
89c68ba3f7fba1e1050c0ecfc7c2e57f64ec15f5,1,370552,0.5675
8a012df9c6f5fa74b8dcf39ef73b9a07d8341238,1,172256,1.0371
8b565570f2bc4b2e454676c9fa8a5b01eef201b1,1,65504,0.2264
8bcca06cb00bd3a80e57a8d08d3666f437642caf,1,576888,7.8475
8c0f06c2e69d014c7b73e48899abb04639f58baf,1,295280,0.6429
8c6223f91d629efdf1f4e89002f188fd2914fe00,1,165384,0.8115
8cc66985673ce1cd1194f4c01d297b3fd39ae4ea,1,428280,2.2452
8d9dff84ce6e04d34f3042105273df080facf46d,1,171016,1.0599
8df81c032685600dd0657a0f28dde5c3d07283ff,2,428528,2.0733
8ee3bddfc7792a8805a9da9eab9bba848a2b066b,1,183840,0.7331
8ef4f1dbad3c40dc90920c4aaa8a2f9f72637786,1,119768,1.1136
8fe25edc7560eac183df31e2831a60777406fff9,1,311408,0.8588
8fe586d344d9155bdd79cf525a59c6283b0365bd,1,119424,0.6604
90f489b0a4d5dab586fc74ff742afbc4c71cf4da,1,419672,4.6395
918c9aa58c2985cb8e0682e24177d71af3d6f815,1,139504,0.4607
91c1568b1a84a62c6aca73bde6e8adac6d5f3504,1,48912,0.419
920e108f84338b5ce08a02169160f0981b030bca,1,412960,0.1578
926beaa3c40bf31e4c28308c52f7f26c4087ed50,1,166424,1.0068
9276d787768b03ade9bf1c5935d2f05f731e25e9,2,503048,1.4603
929ab58a1229d333f60396af2bdfe762f7967d46,1,538904,3.7836
92ad0b5c8b3256871dc9e5da2249e44c76b59c92,1,33992,0.3553
93bad8ae8815d50c5059ed12632d84e0f3cf9e5d,1,511056,5.8981
94694010889199f7dc09ffdcb06cd4e038834ea1,1,383560,5.4437
9524fce0ac11d080d1c50aa6fe58e4f5c4962177,1,334688,0.9676
9535c21515edeb71126ce02cd2e70147073996c2,3,823872,8.6882
97816fd63ef3c40dd0b4f472fb237a0d9e9a7c6f,2,1172736,14.9323
99a425d0f3b7b00896cb855d5de4ae93be1fe3f0,5,1904616,39.6088
99e4cf4d841eb3f79f80201567ff9df24676df7c,1,175712,2.0257
9a3e15c6a2e00fda4f3edb9a99e6b903a60fc7de,2,654560,3.6425
9a4f3d7297654f4492787f8898b7a4ebf6373173,1,305616,0.4323
9b0a47cbc83920f2b6d20e51908978df6ab2e6cd,1,439576,4.6292
9bcdd1537ed6404d4f9def35439af0589f1adf72,1,88160,0.1712
9ccb8dfd4789daf3329a0da9a5c80e07fba7b5c7,1,110912,0.9073
9d2972183ee2a5646780c93ad3ad1f972c119de1,12,1998032,19.4134
9f3b410050d998110ae91c2ac49f832ce0ba2629,1,33816,0.3027
9f4d4eef8fa9aad86371a126d360a54401e5a543,1,360168,0.6798
9f69e179cf7c7e985855babaf894eb600a54edb1,1,180000,1.7433
9f7e214e8cfc9c5636e4198371aed209fe0522a5,1,431512,6.2207
9fc20f4f9db1f79ce6ea8d09b82f974d7e3bc1fa,1,1009080,5.7397
a13d6378c1b53d7adc631de4293334a0092452c2,1,428504,6.4984
a1589c37692dc90bd4834cbb984e9239a8622f75,1,70120,0.4852
a18c91d6423777dffd6afca80d32bf1964f449e6,1,342056,1.4411
a221fc85ed318d928289fc31a0c1b24845e7727c,1,555200,7.4128
a26ac7ebbc55b1b49ec62b31adb277756d57a7db,1,157024,0.3991
a2a28b8034df14ad2c582117a4e62c589256bc16,2,862552,4.006
a30d367a71b7017581cf1ca104242a3c644dec0f,3,664752,8.3927
a39032214de98ac9e96d9faab09bd9076c69e601,1,910240,2.265
a3ca53e4a792a5da18444fb587531029ed62f99b,1,286824,2.4519
a3df2777e8e4c8a9af56bcc8b1587e0838466285,1,882680,1.1514
a4b813d8b844094fcd77c511af596866043b20c8,1,392040,8.0487
a511af7c5e4c274925a2fa707c44e3e07ba9bee1,1,351704,4.651
a57aa8831ee8cdb36b47d501db48a0554acd8aa8,2,341688,2.1534
a5e24eabc306f7fcead0a9d2a5f1433401b6c0ce,3,420552,2.6387
a64f36e5562afedb76dbb13d602f840aa6c39681,2,272232,0.7066
a945e5c06627f9f84678eb7b17ba806c10ffdf57,1,265496,2.2769
aaaff8bd1ca95fc2225b50da2528730393d8bd0e,2,367592,1.0382
aae0ec255327e431221f3946b953321246fc8a3b,1,500728,1.3139
ab145a9f15ffa8e899a406e6404b15198a80dbd0,1,220584,1.3859
ab3d3aca48cce678eb65b915e46d59af4edc1d67,1,310064,3.6568
ab524282e8f95b107979b4d5ca4ae7c55bcc2868,1,262016,0.2695
abf83bc682f2bc0920033e8800a6896e20ecf7b7,1,77160,0.6508
ad0082fde43afbb0b74dbf75ad5912536d038f88,1,292000,2.1693
ad25716a756b6403790eff85d108efa2d63b668c,1,101736,0.3647
ade9bf7cb30de2894d4413129e0efee49348882d,1,15704,0.1229
ae9764ea0a6bb3cfeff9baae2d4fd748a53d1864,1,369168,0.6123
af8a9de663844e4310cc9c5bef2f879852d01592,1,68328,0.2543
afc4b36c1026a4fab0e6c50af09c6bd18adc17d5,1,313808,3.3224
b029ff11b6bb6cac438c3833657a7b0d7172df30,1,294400,2.2951
b065f4441be122c707e6109eee37d61e91b1c244,1,301640,1.4132
b0e18f804d016dd6664c71920d6c290c0af08909,2,709952,8.6474
b0e863195e4e1870eb4f3480fa8b15c6aff2a956,1,167504,0.9716
b1242ce92b1e494182c1b562545acd168084dca1,1,25408,0.2669
b16d1c2713c2894eadc5d0973b37aeff76382985,1,392952,3.4778
b2061de2e713d304ab8e845162888cca47ee32d3,5,2688024,35.6874
b2e4aad9e2ad5d2971831d5e5a41e8916363e6c9,1,242184,1.0505
b31c08db8de133ae499bfa23b681a8e6d3b2477d,1,234952,4.4426
b37099a1453504d0d8f52142be202ee94394c9db,1,71112,0.3303
b43f66c9d43c6febd7bbb9c94ca80adc4f33a182,2,503480,8.8192
b6c55a89161af8860397e2a46977b6f4c037c838,1,517328,6.5731
b6cd3b3c57e95bc574d09391c507855f17a8e41c,1,211464,0.2573
b7b78a2db2526cf95aa8ae3e86285abd7ccce652,2,1087744,25.3192
b7c7edf912fcd4a02b803c5bf84294e707232d77,1,392768,6.3092
ba6ed445a397b36e68e2a33bb2b3504d7a133304,1,114624,0.7208
bc7076b0902567b41ebc19eb1ae7dd14d7f0ca7e,1,309848,3.3829
bd1dac0c6e9b76d0e6439bc74ee83552edcd0d79,1,271336,0.4245
bd99b26bc52c3a10eda45efa4652cda5ceeb334d,1,282312,1.1004
be1b9ee0d579483d7373f2126347b08e0eb8bdaa,1,229952,0.7619
bf09e58d9de751e3860ed04389ec8ed3e6325f01,1,624392,10.6606
bfe5008b17235676cccbfac924a9d300f23b20dc,1,360512,4.1798
c0394286276da7d94c7b77b787981a78955f0b82,1,1193600,27.8869
c043ba77cf9bbf73e964fd9b8681c0cc4bd2662e,3,572312,5.6909
c09cc0a9b7d077ac1670a0df6af44ab27643f909,1,322824,3.3015
c20218eb5770b2cafb12bc7092313b8358fedc0a,1,305160,1.9671
c2bedf2dd5b9390da3b187b90b3589612d1b339a,1,517072,0.6615
c2d8d4e648faa172a65a88fcffaf4ccc10a1ad78,1,79984,0.3992
c2ff9de31bf061183865c230918527c105924fa1,1,203224,3.089
c340fd5a392b9ea5c0fb4b25ebe872d0992071c5,1,285768,0.9978
c39a0f7c2ad0fc41988ebda8d8dadef9fb4ab1e5,1,133072,1.7534
c6ad876774f3cc11e32681ea02a2eead00f2c521,1,123976,0.3703
c6bbfec2fffbd43ce53b89aac7983d80b3ca0bcc,2,273344,2.6584
c85c84be6bd4442552ef428a511ad8b4dea28853,2,526384,3.3543
c86eabb0d03d068933d75fa67385d0f734abac6c,1,280968,0.2083
c924ac3fdf8fe544891dc66c88018e259ee4be87,1,161512,1.0348
c992857618db99776917f10bf4f2345a5fdc78b0,1,138448,0.4119
c9cb699bfb98529a7324a9a5c6311ce4e6b0a5a4,1,55912,0.2475
c9e370c6b8d8ccdbc211765bd6c313c5b1e1ca98,3,763672,7.7899
cc2b3a68e6604141fb99dc2d1429817bbcece56e,1,151376,0.5418
cefd33925cf2c49ecca2a5a1590efcd00952ece6,1,418360,0.5558
cf3323dba473f3849200d294bb0349cd442f2006,1,343824,1.5164
cffabb641f7d35207a40c59ab8687c2365f0397e,1,33576,0.3177
d01f163ce0e60fe98d622d15e73de3c5a22396fc,1,156680,0.2464
d075df1768747c816ca9483465d3f453489ea352,2,758536,10.0516
d0762100b073887179dd8c92e3b852a36192d4c8,1,264144,3.4669
d131921c412f1d9ae7d9a5eb8af131dcf6fdfa0c,1,401320,5.7378
d49ffeea1ccd8bb7e65f0894bcc38f20bd0291ff,1,392968,0.6614
d4a7c9e1abd4fae24c47951f51bc00da1c090189,1,258312,0.9361
d60953bf2588f1dc597ff63d6859415348906efd,1,367064,2.1519
d766322e670c1dd7b23e968b2dcd1712f2f094d6,1,71216,0.3127
d80c87111b2dc1eea043240fcd5b88381bb747fd,1,84760,0.3321
d815289d54b3b34a8ef5e7e749e0bc2513ccdec7,1,306008,0.5767
d81c2a5f331e1e0d5cab27890828f01d2284cdc0,1,370872,6.3765
d86408b7b976d0cf91dfbb9a84a70e4876a5be3e,1,437976,1.8111
d8da89ea5d4d6fb36ae202598ef6c2f2d31038fb,1,248248,3.5572
d90f599b4d94ee77ad651b5233032f147720c1e6,1,269536,4.2012
da127ed3dd0325350e3becc48f3f3d2038a5c1e9,1,328104,2.7514
da2906e507d63bdb9511e3fbce83c0165500b779,2,792328,5.3636
dad7f71f157620be7d2e4168cb6b07cbd255cf61,1,339888,5.0712
db73d0998fc031b6dceb886cad2128ade0771118,1,348120,2.4124
dc03e4c51b6ec1cccaaa0a76f61832e499f5871b,1,240120,5.1925
dc782ceb8384da3272ef4fbeb4a527bb4e0ad9ce,1,415184,3.0848
dd27c4e15ee54251093c5895d3681c3894d2b68b,1,131704,0.7885
dde1c975b88f2e305ad4df720230474e30f6b100,2,332144,3.3072
ddf1bcf788c81b6b89d4c2949a437633fea09f91,1,219024,2.4436
ddf984d058bece79c85f3e7ea670d3396d6bfa33,1,118800,0.684
de4fb877e869d0574b33a3c75d723edbaa420b12,1,273536,4.1962
e09c8c102a6d5e6b7631226ddc74511337aaec36,1,210504,0.4831
e0c2a0ecfd3ec262175e7f6ce0eeb30b5dfa98ef,1,222120,0.2176
e0d4c66aff28d4db6688218560181ecd0e33cc64,1,198936,1.5712
e10c79d3ff0728e13991a24b469296e4eeaf3ed7,1,57552,0.8271
e16402b0c8d29a5caded5013c6b219f19ad4f51b,1,524048,7.2274
e2355c192c61fd672ce69d52afdac1079a0251a7,3,476632,3.2352
e252e9f231988b19fcb4baa8bf572525b1f7b14d,1,316192,2.2049
e2c0d8966253e11435e2273ab199f13a017207d3,1,134128,0.4468
e461f599289e70cde088d621fcd8fde6d6761ee6,1,442832,0.9757
e4ab38a3e440f945229fd9e4379b3f98aca2345e,5,1549232,11.5034
e6f287d59f2054c85d691ed7b279f09c91695e45,2,315792,4.3267
e9abc94483bb7d123057f8a70057f5ecf12841f2,1,325664,0.6624
e9c9e4c2af74cb0571855b1f2cde692e8c436a40,2,508288,3.1022
ea0a37643245ab3171ddf50292ad21ec5742626c,13,3848304,45.2586
eac4115d3639663701ebdbf6c42b2fc9c405b3c1,1,241168,0.576
eafaf1726917febdac069f32fead922d8ed6036a,1,251448,0.9076
eb64a97d33cee3e3a53500732f99ec147b649f7e,1,122592,1.5403
eb915a82a5f4d7fd6c36ad1710b35e2b0c2abd31,1,353080,2.0335
eddf5deb38576e3f2b52b00e32fb00208a0ee619,1,273904,2.6656
ee4696b1501c22f3dd79d3f89058ab603981a87a,1,540016,6.7635
eeac1d35d9246ef71b56df661d65707b05da3683,2,577736,4.9902
f119464929d054ced8c6d9e5b8d2a605620985e6,4,852544,5.3511
f1705801951775288766a3a2374ee2a802575da7,1,242944,2.945
f1a2cbfd6eccb8bd810d14850bdee33855bcd2fc,1,190088,2.0721
f28e2ce7a4cf4a82d367c106eee4b3113b85bcbf,2,1030672,16.2799
f31d9b12fd16da13162b190573c9d3d246b85d5a,1,170296,1.1244
f3b77510effad00db8554331a257e93968a977c2,1,179992,0.3081
f44c34329217a46a8918c476ba3690b6a102c696,1,201816,0.962
f621c0a4cbf6b69a674495eb3c0dd16fffeea902,1,305368,3.3243
f6a40570fa63d5afdd596c78083d754081d80ae3,9,2269208,30.9268
f6c65d3f45e1bb1db3634364bbc5daa3470de654,1,147824,0.8918
f90ecfb1f74bfec8bddd2dfec6e589693ca10105,1,746088,16.3464
f93b2fa524cbaab1d8b0ab4d48bae8d4017fecee,1,244448,0.9206
f95af7785bd0ff216821043c7a508a5e9fad0f12,1,264616,0.4437
f9c2c1acc62a245cd63aba4ed1969461f1c32d6e,1,167664,0.195
f9f48ef6742d2c745b8c6248d0ad85014222d3d4,1,129144,0.3487
fa17e2daf08e4d4107f87db24a6ac0d93d197b9f,1,423584,6.2574
fa60cd13699b332b67beb7987d5a5b862804ddc1,1,890616,1.3777
fa6815e14ea5adff93c5cd7be513c02a7c6e3f2a,1,411024,4.7394
fa87879babbe3413fd6ff93d35546aab15538c41,2,637432,4.2998
fb0441a8a2c9f97c2f0c34e6e8a82304b5097784,1,258232,1.6585
fb5408cf682904c84bb484436c0e5cafaf2553d7,1,314752,3.3277
fb7560bcbb3aec07be0f421ab17b9e56a1100cee,1,225184,0.1492
fcda82930e78dbfe92a3b0024212eb75fc08a919,1,450408,1.3347
fcfb046d91f606a67cb919f8a8de8c0e53671a2f,1,553504,8.3942
fd4413002d89d643b273cedc8fb51e12b9ec0eb4,1,193792,1.3561
fe417b06d670562bfcf5d3ac2e7a6f8d4f13d7bf,1,237912,2.1881
fe4eb9b10f31e132640f88edee08c96715a7cd8b,1,140232,0.7605
feb796d3126fa73240d3db6b511efd31018a43fd,1,110880,1.1404
ff7c1faa1297648522de9adc2df516bea78eeff4,1,421576,5.7241
